name	type	primary	secondary	equipment	mechanics	level	force
Body-Up	Strength	Triceps	"Chest,Shoulders"	None	Isolation	Intermediate	Push
Bodyweight Flyes	Strength	Chest	"Abdominals,Shoulders,Triceps"	E-Z Curl Bar	Isolation	Intermediate	Push
Bodyweight Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Bodyweight Mid Row	Strength	MiddleBack	"Biceps,Lats"	Other	Compound	Intermediate	Pull
Bodyweight Reverse Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Bodyweight Squat	Strength	Quadriceps	"Glutes,Hamstrings"	None	Compound	Beginner	Push
Bodyweight Walking Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Bosu Ball Cable Crunch With Side Bends	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Bosu Ball Crunch	Strength	Abdominals	N/A	Exercise Ball	Compound	Beginner	Pull
Bosu Ball Push-Up	Strength	Chest	"Shoulders,Triceps"	Exercise Ball	Compound	Intermediate	Push
Bosu Ball Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Exercise Ball	Compound	Intermediate	Push
Bottoms Up	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Bottoms-Up Clean From The Hang Position	Strength	Forearms	"Biceps,Shoulders"	Kettlebells	Compound	Intermediate	Pull
Box Jump (Multiple Response)	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Quadriceps"	Other	Compound	Beginner	Push
Box Skip	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Quadriceps"	Other	Compound	Beginner	Push
Box Squat	Powerlifting	Quadriceps	"Adductors,Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
Box Squat with Bands	Powerlifting	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Expert	Push
Box Squat with Chains	Strength	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Expert	Push
Brachialis-SMR	Stretching	Biceps	N/A	Foam Roll	N/A	Intermediate	Static
Bradford/Rocky Presses	Strength	Shoulders	Triceps	Barbell	Compound	Beginner	Push
Burpee	Cardio	Quadriceps	"Calves,Chest,Hamstrings,Shoulders,Triceps"	None	Compound	Intermediate	Push
Burpee Over Barbell	Plyometrics	Quadriceps	"Calves,Chest,Glutes,Hamstrings,Triceps"	Barbell	Compound	Intermediate	Push
Burpee Pull-Up	Plyometrics	Lats	"Biceps,Calves,Glutes,Hamstrings,Lats"	Other	Compound	Expert	Pull
Burpee To Medicine Ball Press	Strength	Chest	"Glutes,Hamstrings,Quadriceps,Shoulders,Triceps"	Medicine Ball	Compound	Intermediate	Push
Butt Kicks	Cardio	Quadriceps	"Calves,Hamstrings"	None	N/A	Beginner	Pull
Butt Lift (Bridge)	Strength	Glutes	Hamstrings	None	Isolation	Beginner	Push
Butt-Ups	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Butterfly	Strength	Chest	N/A	Machine	Isolation	Beginner	Pull
Cable Chest Press	Strength	Chest	"Shoulders,Triceps"	Cable	Compound	Beginner	Push
Cable Crossover	Strength	Chest	Shoulders	Cable	Isolation	Beginner	Push
Cable Crunch	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Cable Deadlifts	Strength	Quadriceps	"Forearms,Glutes,Hamstrings,LowerBack"	Cable	Compound	Beginner	Pull
Cable Hammer Curls - Rope Attachment	Strength	Biceps	N/A	Cable	Isolation	Beginner	Pull
Cable Hip Adduction	Strength	Quadriceps	N/A	Cable	Isolation	Beginner	Pull
Cable Incline Pushdown	Strength	Lats	N/A	Cable	Isolation	Beginner	Pull
Cable Incline Triceps Extension	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Cable Internal Rotation	Strength	Shoulders	N/A	Cable	Compound	Beginner	Pull
Cable Iron Cross	Strength	Chest	N/A	Cable	Isolation	Beginner	Push
Cable Judo Flip	Strength	Abdominals	N/A	Cable	Compound	Beginner	Pull
Cable Lying Triceps Extension	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Cable One Arm Tricep Extension	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Cable Preacher Curl	Strength	Biceps	Forearms	Cable	Isolation	Beginner	Pull
Cable Rear Delt Fly	Strength	Shoulders	N/A	Cable	Isolation	Beginner	Pull
Cable Reverse Crunch	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Cable Rope Overhead Triceps Extension	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Cable Rope Rear-Delt Rows	Strength	Shoulders	"Biceps,MiddleBack"	Cable	Compound	Beginner	Pull
Cable Russian Twists	Strength	Abdominals	N/A	Cable	Compound	Beginner	Pull
Cable Seated Crunch	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Cable Seated Lateral Raise	Strength	Shoulders	"MiddleBack,Traps"	Cable	Isolation	Beginner	Pull
Cable Shoulder Press	Strength	Shoulders	Triceps	Cable	Compound	Beginner	Push
Cable Shrugs	Strength	Traps	N/A	Cable	Isolation	Beginner	Pull
Cable Wrist Curl	Strength	Forearms	N/A	Cable	Isolation	Beginner	Pull
Calf Press	Strength	Calves	N/A	Machine	Isolation	Beginner	Push
Calf Press On The Leg Press Machine	Strength	Calves	N/A	Machine	Isolation	Beginner	Push
Calf Raise On A Dumbbell	Strength	Calves	N/A	Dumbbell	Isolation	Intermediate	Push
Calf Raises - With Bands	Strength	Calves	N/A	Bands	Isolation	Beginner	Push
Calf Stretch Elbows Against Wall	Stretching	Calves	N/A	None	Isolation	Beginner	Static
Calf Stretch Hands Against Wall	Stretching	Calves	N/A	None	Isolation	Beginner	Static
Calf-Machine Shoulder Shrug	Strength	Traps	N/A	Machine	Isolation	Beginner	Pull
Calves-SMR	Stretching	Calves	N/A	Foam Roll	N/A	Intermediate	Static
Car Deadlift	Strongman	Quadriceps	"Forearms,Glutes,Hamstrings,LowerBack,Traps"	Other	Compound	Intermediate	Pull
Car Drivers	Strength	Shoulders	Forearms	Barbell	Isolation	Beginner	Push
Carioca Quick Step	Plyometrics	Adductors	"Abdominals,Abductors,Calves,Glutes,Hamstrings,Quadriceps"	None	N/A	Beginner	N/A
Cat Stretch	Stretching	LowerBack	"MiddleBack,Traps"	None	N/A	Beginner	Static
Catch and Overhead Throw	Plyometrics	Lats	"Abdominals,Chest,Shoulders"	Medicine Ball	Compound	Beginner	Push
Chain Handle Extension	Powerlifting	Triceps	N/A	Other	Isolation	Intermediate	Push
Chain Press	Powerlifting	Chest	"Shoulders,Triceps"	Other	Compound	Intermediate	Push
Chair Leg Extended Stretch	Stretching	Hamstrings	Adductors	Other	Isolation	Beginner	Static
Chair Lower Back Stretch	Stretching	Lats	LowerBack	None	Isolation	Beginner	Static
Chair Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Beginner	Push
Chair Upper Body Stretch	Stretching	Shoulders	"Biceps,Chest"	Other	N/A	Beginner	Static
Chest And Front Of Shoulder Stretch	Stretching	Chest	Shoulders	Other	Isolation	Beginner	Static
Chest Push (multiple response)	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Chest Push (single response)	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Chest Push from 3 point stance	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Chest Push with Run Release	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Chest Stretch on Stability Ball	Stretching	Chest	N/A	Exercise Ball	Isolation	Beginner	Static
Child's Pose	Stretching	LowerBack	"Glutes,MiddleBack"	None	N/A	Beginner	Static
Chin To Chest Stretch	Stretching	Neck	Traps	None	N/A	Beginner	Static
Chin-Up	Strength	Lats	"Biceps,Forearms,MiddleBack"	None	Compound	Beginner	Pull
Circus Bell	Strongman	Shoulders	"Forearms,Glutes,Hamstrings,LowerBack,Traps,Triceps"	Other	Compound	Expert	Push
Clam	Strength	Abductors	N/A	None	Isolation	Beginner	Push
Clapping Push-Up	Plyometrics	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
Clean	OlympicWeightlifting	Hamstrings	"Calves,Forearms,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Barbell	Compound	Intermediate	Pull
Clean and Jerk	OlympicWeightlifting	Shoulders	"Abdominals,Glutes,Hamstrings,LowerBack,Quadriceps,Traps,Triceps"	Barbell	Compound	Expert	Push
Clean and Press	Strength	Shoulders	"Abdominals,Calves,Glutes,Hamstrings,LowerBack,MiddleBack,Quadriceps,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Push
Clean Deadlift	OlympicWeightlifting	Hamstrings	"Forearms,Glutes,LowerBack,MiddleBack,Quadriceps,Traps"	Barbell	Compound	Beginner	Pull
Clean from Blocks	OlympicWeightlifting	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders,Traps"	Barbell	Compound	Intermediate	Pull
Clean Pull	OlympicWeightlifting	Quadriceps	"Forearms,Glutes,Hamstrings,LowerBack,Traps"	Barbell	Compound	Intermediate	Pull
Clean Shrug	OlympicWeightlifting	Traps	"Forearms,Shoulders"	Barbell	Compound	Beginner	Pull
Clock Push-Up	Strength	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
Close-Grip Barbell Bench Press	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Beginner	Push
Close-Grip Dumbbell Press	Strength	Triceps	"Chest,Shoulders"	Dumbbell	Compound	Beginner	Push
Close-Grip EZ Bar Curl	Strength	Biceps	Forearms	Barbell	Isolation	Beginner	Pull
Close-Grip EZ-Bar Curl with Band	Strength	Biceps	Forearms	E-Z Curl Bar	Isolation	Beginner	Pull
Close-Grip EZ-Bar Press	Strength	Triceps	"Chest,Shoulders"	E-Z Curl Bar	Compound	Beginner	Push
Close-Grip Front Lat Pulldown	Strength	Lats	"Biceps,MiddleBack,Shoulders"	Cable	Compound	Beginner	Pull
Close-Grip Push-Up off of a Dumbbell	Strength	Triceps	"Abdominals,Chest,Shoulders"	None	Compound	Intermediate	Push
Close-Grip Standing Barbell Curl	Strength	Biceps	Forearms	Barbell	Isolation	Beginner	Pull
Close-Hands Push-Up	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Close-Stance Dumbbell Front Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Cobra Triceps Extension	Strength	Triceps	Chest	None	Compound	Intermediate	Push
Cocoons	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Conan's Wheel	Strongman	Quadriceps	"Abdominals,Biceps,Calves,Forearms,LowerBack,Shoulders,Traps"	Other	Compound	Intermediate	N/A
Concentration Curls	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Cross Body Hammer Curl	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Cross Crunch	Strength	Abdominals	N/A	None	N/A	Beginner	Pull
Cross Over - With Bands	Strength	Chest	"Biceps,Shoulders"	Bands	Compound	Beginner	Push
Cross-Body Crunch	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Crossover Reverse Lunge	Stretching	LowerBack	"Abdominals,Abductors,Glutes,Hamstrings,Quadriceps"	None	N/A	Intermediate	Pull
Crucifix	Strongman	Shoulders	Forearms	Other	Isolation	Beginner	Static
Crunch - Hands Overhead	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Crunch - Legs On Exercise Ball	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Crunches	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Cuban Press	Strength	Shoulders	Traps	Dumbbell	Compound	Intermediate	Push
Dancer's Stretch	Stretching	LowerBack	"Abductors,Glutes"	None	N/A	Beginner	Static
Dead Bug	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Deadlift with Bands	Powerlifting	LowerBack	"Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Barbell	Compound	Expert	Pull
Deadlift with Chains	Powerlifting	LowerBack	"Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Barbell	Compound	Expert	Pull
Decline Barbell Bench Press	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Beginner	Push
Decline Close-Grip Bench To Skull Crusher	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Decline Crunch	Strength	Abdominals	N/A	None	Isolation	Intermediate	Pull
Decline Dumbbell Bench Press	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Decline Dumbbell Flyes	Strength	Chest	N/A	Dumbbell	Compound	Beginner	Push
Decline Dumbbell Triceps Extension	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
Decline Explosive Push-Up	Plyometrics	Chest	"Shoulders,Triceps"	Other	Compound	Intermediate	Push
Decline EZ Bar Triceps Extension	Strength	Triceps	N/A	Barbell	Isolation	Beginner	Push
Decline Oblique Crunch	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Decline Push-Up	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Decline Reverse Crunch	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Decline Smith Press	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Defensive Slide	Cardio	Quadriceps	"Adductors,Calves,Glutes,Hamstrings"	None	N/A	Beginner	N/A
Deficit Deadlift	Powerlifting	LowerBack	"Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Barbell	Compound	Intermediate	Pull
Depth Jump Leap	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Diamond Push-Up	Strength	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
Dip Machine	Strength	Triceps	"Chest,Shoulders"	Machine	Compound	Beginner	Push
Dips - Chest Version	Strength	Chest	"Shoulders,Triceps"	Other	Compound	Intermediate	Push
Dips - Triceps Version	Strength	Triceps	"Chest,Shoulders"	None	Compound	Beginner	Push
Dive Bomber Push-Up	Strength	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
Donkey Calf Raises	Strength	Calves	N/A	Other	Isolation	Intermediate	Push
Double Kettlebell Alternating Hang Clean	Strength	Hamstrings	"Biceps,Calves,Forearms,Glutes,LowerBack,Quadriceps,Traps"	Kettlebells	Compound	Intermediate	Pull
Double Kettlebell Jerk	Strength	Shoulders	"Calves,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Double Kettlebell Push Press	Strength	Shoulders	"Calves,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Double Kettlebell Snatch	Strength	Shoulders	"Glutes,Hamstrings,Quadriceps"	Kettlebells	Compound	Expert	Pull
Double Kettlebell Windmill	Strength	Abdominals	"Glutes,Hamstrings,Shoulders,Triceps"	Kettlebells	N/A	Intermediate	Pull
Double Leg Butt Kick	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Downward Facing Balance	Strength	Glutes	"Abdominals,Hamstrings"	Exercise Ball	Isolation	Intermediate	Static
Drag Curl	Strength	Biceps	Forearms	Barbell	Compound	Intermediate	Pull
Drop Push	Plyometrics	Chest	"Shoulders,Triceps"	Other	Compound	Intermediate	Push
Dumbbell Alternate Bicep Curl	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Dumbbell Bench Press	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Dumbbell Bench Press with Neutral Grip	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Dumbbell Bicep Curl	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
